Employment - Title,Job Description,Employment - Type,Major,Skills / Qualifications
Junior Associate,"Responsibilities:
At Mu Sigma you’ll often hear the phrase “Learning over Knowing.” It’s one of our guiding principles, and
as such, we expect every Mu Sigman to demonstrate passion for learning. Our work will throw a variety
of concepts at you, ranging from the chemical backings of pharmaceutical drugs to the vast global supply
chains of leading retailers. We help firms improve their decision making, and to do that, we must know
them better than they know themselves. We aren’t just an analytics firm; we’re a Decision Sciences firm.

To succeed at Mu Sigma, you should bring to the table:
? A quantitative mindset: You don’t have to be a Statistics major, but you do have to know how to work
with numbers.
? A critical eye: We want someone who asks questions, always probing for “Why?” or “So what?” We
value contrarian thinking.
? Interpersonal skills: The work involves consulting and client interaction. Clients have to like and
respect you, even when you tell them they’re wrong.

What you’ll do:
? Engage clients to understand their business challenges and how to solve them.
? Work alongside a global delivery team that spans client locations and our India center, solving datai ntensive
problems with the analytical frameworks and tools that we provide you.
? Present the results of your work to senior management, offering insightful recommendations that
lead to tangible business impact.
? Build relationships with clients, helping them improve their use of analytics to drive their business
operations forward.

What you’ll gain from the experience:
? A strong foundation in analytics. You’ll learn how to think analytically, and how to quantify and solve
a variety of business problems thrown at you.
? Meaningful experience. You’ll work on issues directly relevant to the needs of senior clients, with
whom you’ll frequently engage. You’ll also see your work translate into actions.
? A head-start. Big Data analytics is an exploding industry. We’re at its forefront.

Our Training Investment in You:
The Mu Sigma experience begins at Mu Sigma University (MSU) – an intensive training program in our Bangalore, India facility that prepares you for a successful career as a Decision Scientist. At MSU, you’ll participate in a curriculum that draws from disciplines of Math, Business, Technology, Design-Thinking, and Behavioral Science – the multi-disciplinary skills that make a Mu Sigman.
After the initial training, you will be assigned to one of our client location across US.",Career Employment – Graduating Students & Alumni,"Health Information Management and Systems, Information Systems, Computer Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Mathematics, Computer and Information Science",BBA / BA / BS (we hire across all disciplines): May 2015 to May 2016
Analyst/Data Scientist Intern,"Company Overview:
84.51 helps companies create sustainable growth by putting the customer at the center of everything. Using a sophisticated suite of tools and technology, we turn data into knowledge to help some of the world's leading CPG manufacturers and partners develop, nurture and embrace deeper relationships with their customer. 

Intern Program Overview:
Its never too early to start seeking extraordinary talent, and thats what we aim to do with our internship program. This program isnt about learning how to take a coffee order, its about doing hands-on work inside our company while learning about our culture. Working closely with your manager, you will spend 10 weeks of your summer completing a project that will actually impact the way we do business. 

Position Overview:
This position involves extracting the information we need from our databases and turning it into actionable analysis.  You will identify essential data and then use templates, procedures and statistical software to develop new methodologies and/or insights based on that data. The methodologies and/or insights you find will allow us to drive better execution for pricing, promotions, innovation, local marketing, service, and loyalty.   The different areas of analysis are: Analysis, Research and Data Science.

Locations: Cincinnati, OH (USA)
Start Date: May 2016",Internship,"Economics - Business, Finance, Information Systems, Computer Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Computer Science and Engineering, Electrical and Computer Engineering, Actuarial Science, Data Analytics, Communication, Economics, Mathematics, Computer and Information Science, Statistics, Mathematical Sciences - MMS, Communication, Economics, Mathematics - MS & PhD","Education, Experience, and Preferred Skills:
- Working towards Bachelors degree (Masters degree desired) in Computer Science, Artificial Intelligence, Machine Learning, Operations Research, Applied Economics, Applied Statistics, Engineering, Finance, Applied Mathematics, Market Research, Business Analytics, Information Systems or another heavily quantitative program.  

Technical Skills: (desired but not a requirement)
- Experience using a programming language or statistical software: SQL, SAS,  Excel / VBA, R, C/C++, Java or other
- Statistical models (logistic regression, clustering etc.)
- Data analysis and modeling
- Data interpretation
- Machine learning and data mining 
- Strong business acumen
- Statistical measurement"
Developer Entry Level,"Company Overview:
84.51 helps companies create sustainable growth by putting the customer at the center of everything. Using a sophisticated suite of tools and technology, we turn data into knowledge to help some of the world's leading CPG manufacturers and partners develop, nurture and embrace deeper relationships with their customer. 

University Leadership Program Overview:
Development of our talent is very important to us. These programs are created to support and develop top candidates who have demonstrated that they are leaders in the making.  Many of our senior leaders in the business today started out in one of our University Leadership Programs.  During this program, you will start your first 5 weeks in an intensive jump start training to develop your understanding on 84.51s ways of working, the use of our tools and capabilities, knowledge around the CPG and Retail industry and technical training on the programs we use to customize our work for our clients. 

Position Overview:
Data Developer: This position involves creating robust and scalable data solutions that underpin our core capabilities. The two different areas of data are Data Consulting and Data Development.

Technical skills desired:
- Experience using database programming and statistical software such as Oracle, SAS, R, Python, Hadoop, Continuous Delivery and Integration, Data Warehouse Development Lifecycle, ETL
- Experience translating market research analysis into business solutions and communicating results to key stakeholders highly desired.

Application Developer: This position involves creating robust and scalable software solutions that underpin our core capabilities. The different areas of product development are Design & Engineering, Development & Testing

Technical skills desired:
- Experience using the latest software development languages (Java, C, C++, C#, PHP, HTML5, jQuery, Go, SQL, JavaScript, Ruby, etc.)
- Experience with concepts and frameworks such as Docker, Containers, IaaS, PaaS, iOS, Android, Microservices, SaaS, SpecFlow, Meteor, OOD

Locations: Cincinnati, OH (USA)
Start Dates: January or June 2016",Career Employment – Graduating Students & Alumni,"Information Systems, Computer Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Computer Science and Engineering, Electrical and Computer Engineering, Data Analytics, Mathematics, Computer and Information Science, Statistics, Mathematical Sciences - MMS, Mathematics - MS & PhD","Education Requirements for both positions:
- Bachelors degree (Masters degree desired) typically in Management Information Systems, Mathematics, Computer Information Systems, Business Analytics or another technically strong program.  
- Some understanding of Agile (Scrum, SAFe, etc.)"
Analyst/Data Scientist Entry Level,"Company Overview:
84.51 helps companies create sustainable growth by putting the customer at the center of everything. Using a sophisticated suite of tools and technology, we turn data into knowledge to help some of the world's leading CPG manufacturers and partners develop, nurture and embrace deeper relationships with their customer. 

University Leadership Program Overview:
Development of our talent is very important to us. These programs are created to support and develop top candidates who have demonstrated that they are leaders in the making.  Many of our senior leaders in the business today started out in one of our University Leadership Programs.  During this program, you will start your first 5 weeks in an intensive jump start training to develop your understanding on 84.51s ways of working, the use of our tools and capabilities, knowledge around the CPG and Retail industry and technical training on the programs we use to customize our work for our clients. 

Position Overview:
The goal of all of our analyses is to provide shopper / consumer insights that lead to business actions and results.  Our analysts share in the development of strategy and delivery of their work to the client.  You will work directly with our retail partners to better understand their business through the customer lens to drive better and faster decisions.  We use the right combination of behavioral research and contextual data to build a sustainable insight platform with a customer-focused lens to drive strategy, actions plans and results for our clients.  

In this development program, you will spend the first 6-7 weeks learning about the business, the role of an Analyst, and deep-dive training into the technical and commercial skills Analysts leverage on a day-to-day basis.  Upon completion of the Analyst Development Program, you will be placed into a business role where you can continue your learning and development while making an impact in the business.

Locations: Cincinnati, OH (USA)
Start Dates: January or June 2016",Career Employment – Graduating Students & Alumni,"Finance, Information Systems, Computer Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Computer Science and Engineering, Electrical and Computer Engineering, Actuarial Science, Data Analytics, Communication, Economics, Mathematics, Computer and Information Science, Statistics, Mathematical Sciences - MMS, Communication, Economics, Mathematics - MS & PhD","Education, Experience, and Preferred Skills:
- Bachelors degree (Masters degree desired) in Computer Science, Artificial Intelligence, Machine Learning, Operations Research, Applied Economics, Applied Statistics, Engineering, Finance, Applied Mathematics, Market Research, Business Analytics, Information Systems or another heavily quantitative program.  

Technical Skills: (desired but not a requirement)
- Experience using a programming language or statistical software: SQL, SAS,  Excel / VBA, R, C/C++, Java or other
- Statistical models (logistic regression, clustering etc.)
- Data analysis and modeling
- Data interpretation
- Machine learning and data mining 
- Strong business acumen
- Statistical measurement"
Developer Intern,"Company Overview:
84.51 helps companies create sustainable growth by putting the customer at the center of everything. Using a sophisticated suite of tools and technology, we turn data into knowledge to help some of the world's leading CPG manufacturers and partners develop, nurture and embrace deeper relationships with their customer. 

Intern Program Overview:
Its never too early to start seeking extraordinary talent, and thats what we aim to do with our internship program. This program isnt about learning how to take a coffee order, its about doing hands-on work inside our company while learning about our culture. Working closely with your manager, you will spend 10 weeks of your summer completing a project that will actually impact the way we do business. 

Position Overview:
Data Developer:  This position involves creating robust and scalable data solutions that underpin our core capabilities. The two different areas of data are Data Consulting and Data Development.

Technical Skills:
- Experience using database programming and statistical software such as Oracle, SAS, R, Python, Hadoop, Continuous Delivery and Integration, Data Warehouse Development Lifecycle, ETL
- Experience translating market research analysis into business solutions and communicating results to key stakeholders highly desired.

Application Developer:  This position involves creating robust and scalable software solutions that underpin our core capabilities. The different areas of product development are Design & Engineering and Development & Test.

Technical Skills:
- Experience using the latest software development languages (Java, C, C++, C#, PHP, HTML5, jQuery, Go, SQL, JavaScript, Ruby, etc.)
- Experience with concepts and frameworks such as Docker, Containers, IaaS, PaaS, iOS, Android, Microservices, SaaS, SpecFlow, Meteor, OOD

Locations: Cincinnati, OH (USA)
Start Date: May 2016",Internship,"Information Systems, Computer Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Computer Science and Engineering, Electrical and Computer Engineering, Data Analytics, Computer and Information Science, Statistics, Mathematical Sciences - MMS, Mathematics - MS & PhD","
Education Requirements for both positions:
- Working towards Bachelors degree (Masters degree desired) typically in Management Information Systems, Mathematics, Computer Information Systems, Business Analytics or another technically strong program.  
- Some understanding of Agile (Scrum, SAFe, etc.)"
Associate Examiner,"Summer Internships or Full Time Positions Available
As an entry-level examiner you will perform developmental assignments and receive on-the-job and formal training designed to provide practical experience in overseeing and examining a financial institution.  For more information on FCA, please visit our website at www.fca.gov and select Job Seekers to view our Employment home page.  Here you can learn what our bank examiners do, the qualifications needed to become a bank examiner, and training and career development opportunities.",Career Employment – Graduating Students & Alumni,"Accounting, Economics - Business, Finance, Master of Accounting, Master of Business Administration, Agribusiness and Applied Economics, Environment Economy Development and Sustainability, Agricultural Environmental and Developmental Economics, Economics, Economics","You must be a citizen of the United States. You must have completed by June 2016, a four-year course of study leading to a bachelor's degree with major study in accounting, banking, business administration, commercial or banking law, economics, finance, marketing, agribusiness, agricultural economics or other field closely related to the position. You must graduate with a GPA of at least 2.95."
Hybrid Trader Trainee,"Belvedere Trading is looking for individuals who are interested in gaining broad exposure to the financial markets through a challenging and comprehensive rotational program.   The program will consist of hands-on rotations between the Belvedere trading desks and development teams.  On the trade desk, Hybrids will be exposed to the fast paced, intense pressure, and high reward world of options market making.  On the development teams, they will learn best practices in design, collaborate to create innovative solutions, and implement the most sophisticated technologies. Belvedere's hybrid rotational program is the perfect place for the highly quantitative and competitive individual who wants to build a broad base of skills to succeed in finance for years to come.
 
Who we are: 
Belvedere Trading is a leading proprietary trading firm that specializes in equity index and commodity options. We act as market makers helping to provide liquidity to the marketplace while strategically capitalizing on market inefficiencies. We develop and maintain proprietary, high-performance trading software to give our traders the best execution and analytical tools available.
 
What our Hybrid Trader Trainees do:
Our Hybrid Trader Trainees are assigned to specific tech and trading desks during their first 18-24 months on a rotational basis and expected to quickly learn the critical aspects of option pricing both in terms of risk and how our technology works.  Throughout the rotational period we work with our Hybrid Trader Trainees to customize their experience, eventually leading to a permanent role as a trader, quantitative analyst, or a high-powered developer.
 
 
More specifically, our Hybrid Trader Trainees:
Engage in continuous, hands-on training that includes education on option valuation, game theory, hedging, portfolio analysis, and simulated trading games
Assist with order execution, position management, desk strategy meetings, trade checking and trade reconciliations
Rotate between trading and technology desks to gain a broad perspective of the marketplace and our technologies
Communicate with technology team members to enhance trading software
Learn basics of design, implementing and testing enterprise software
Develop strong architecture and development skills
Lead and participate in special projects that enhance trader facing technologies

What we offer: 
Belvedere offers a casual work environment that promotes innovation and creativity.  Our employees’ health is important to us so we provide full benefits and a robust wellness program including: in-office yoga, health seminars and discounted gym memberships. In additional to traditional benefits such as insurance and 401k, Belvedere also recognizes the positive effects of a strong work-life balance by having a flexible, paid time off policy and a transit benefit program.",Career Employment – Graduating Students & Alumni,"Consumer and Family Financial Services, Accounting, Economics - Business, Finance, Information Systems, Economics, Mathematics, Computer and Information Science","Who we are looking for:
We are looking for exceptional Hybrid Trader Trainees who come from a variety of strong quantitative backgrounds and who thrive in a competitive and challenging work environment.
 
Key qualities in great candidates:
Effective communication skills and a team-oriented attitude
Strong quantitative, analytical, and problem solving skills
Demonstrated participation in strategic competitive activities
Training or demonstrated ability to learn language such as C++, C#, and Python
Knowledge of the financial markets and trading industry is a plus, but not a prerequisite
Graduation date of December 2015 or May/June 2016

Sponsorship is not available for this position
All candidates must have GPA listed on their resumes
It is recommended that candidates apply to only one of our 2015-2016 campus roles: Business Analyst, Software Engineer, Trader Trainee or Hybrid Trader Trainee.  Please apply for the role that most interests you and best fits your skill-set."
Software Engineer,"Belvedere Trading is looking for Software Engineers interested in developing innovative, high-performance trading systems. Our Software Engineers participate in all aspects of the software development lifecycle, from design to testing to deployment. Successful candidates will be detail oriented, possess excellent problem solving abilities, and thrive in a collaborative, entrepreneurial environment.

What our Software Engineers do: 
Software Engineers develop and enhance our proprietary trading software platform that our traders use every day. Our Software Engineers work in a collaborative team environment which encourages constant learning and innovation at every level from entry-level positions to the CTO. At Belvedere, you work with the best, learn with the best, and create the best proprietary software we can imagine.

More specifically, our Software Engineers:
Design, implement, and debug complex trading applications
Work with team members to ensure that our software meets requirements and is testable
Coordinate with project managers and team leadership to plan work
 
Who we are: 
Belvedere Trading is a leading proprietary trading firm that specializes in equity index and commodity options. We act as market makers helping to provide liquidity to the marketplace while strategically capitalizing on market inefficiencies. We develop and maintain proprietary, high-performance trading software to give our traders the best execution and analytical tools available.
 

What we offer: 
Belvedere offers a casual work environment that promotes innovation and creativity.  Our employees’ health is important to us so we provide full benefits and a robust wellness program including: in-office yoga, health seminars and discounted gym memberships. In additional to traditional benefits such as insurance and 401k, Belvedere also recognizes the positive effects of a strong work-life balance by having a flexible, paid time off policy and a transit benefit program.",Career Employment – Graduating Students & Alumni,"Health Information Management and Systems, Information Systems, Aeronautical and Astronautical Engineering, Computer Science and Engineering, Civil Engineering, Mechanical Engineering, Geomatics Engineering, Electrical and Computer Engineering, Engineering Physics, Industrial and Systems Engineering, Economics, Mathematics, Computer and Information Science","Key qualities in great candidates:
Undergraduate degree in Computer Science, Computer Engineering, or a related field

Strong experience with an object-oriented programming language such as C++, C#, or Java
Experience with all phases of the Software Development Lifecycle
Interest to learn!
Great written and verbal communication skills
Extra credit: Experience with .NET and/or the financial industry

Sponsorship is not available for this position
All candidates must have GPA listed on their resumes
It is recommended that candidates apply to only one of our 2015-2016 campus roles: Business Analyst, Software Engineer, Trader Trainee or Hybrid Trader Trainee.  Please apply for the role that most interests you and best fits your skill-set."
Software Engineer Intern,"Belvedere Trading is looking for Software Engineer Interns interested in developing innovative, high-performance trading systems. Our Software Engineer Interns participate in all aspects of the software development lifecycle, from design to testing to deployment. Successful candidates will be detail oriented, possess excellent problem solving abilities, and thrive in a collaborative, entrepreneurial environment.

What our Software Engineer Interns do: 
Software Engineer Interns develop and enhance our proprietary trading software platform that our traders use every day. We work in a collaborative team environment which encourages constant learning and innovation at every level from entry-level positions to the CTO. At Belvedere, you work with the best, learn with the best, and create the best proprietary software we can imagine.

More specifically, our Software Engineer Interns:
Design, implement, and debug complex trading applications
Work with team members to ensure that our software meets requirements and is testable
Coordinate with project managers and team leadership to plan work
 
Who we are: 
Belvedere Trading is a leading proprietary trading firm that specializes in equity index and commodity options. We act as market makers helping to provide liquidity to the marketplace while strategically capitalizing on market inefficiencies. We develop and maintain proprietary, high-performance trading software to give our traders the best execution and analytical tools available.
 

What we offer: 
Belvedere offers a casual work environment that promotes innovation and creativity.  Our employees’ health is important to us so we provide full benefits and a robust wellness program including: in-office yoga, health seminars and discounted gym memberships. In additional to traditional benefits such as insurance and 401k, Belvedere also recognizes the positive effects of a strong work-life balance by having a flexible, paid time off policy and a transit benefit program.",Internship,"Health Information Management and Systems, Economics - Business, Information Systems, Aeronautical and Astronautical Engineering, Computer Science and Engineering, Civil Engineering, Mechanical Engineering, Geomatics Engineering, Electrical and Computer Engineering, Engineering Physics, Industrial and Systems Engineering, Economics, Mathematics, Computer and Information Science","Key qualities in great candidates:
Undergraduate degree in Computer Science, Computer Engineering, or a related field
Strong experience with an object-oriented programming language such as C++, C#, or Java
Experience with all phases of the Software Development Lifecycle
Interest to learn!
Great written and verbal communication skills
Graduation date of December 2016 or May/June 2017
Extra credit: Experience with .NET and/or the financial industry

Sponsorship is not available for this position
All candidates must have GPA listed on their resumes
It is recommended that candidates apply to only one of our 2015-2016 campus roles: Business Analyst, Software Engineer, Trader Trainee or Hybrid Trader Trainee.  Please apply for the role that most interests you and best fits your skill-set."
Trader Trainee,"Belvedere Trading is looking for individuals interested in gaining exposure to the financial markets through a hands-on training and rotational program. Our program teaches Trader Trainees how to identify and capitalize on derivative arbitrage  opportunities by utilizing Belvedere’s proprietary trading and risk management strategies while also leveraging our cutting edge, low latency trading technology. Successful candidates will possess strong quantitative and communication skills and thrive in a fast-paced and collaborative environment.

Who we are: 
Belvedere Trading is a leading proprietary trading firm that specializes in equity index and commodity options. We act as market makers helping to provide liquidity to the marketplace while strategically capitalizing on market inefficiencies. We develop and maintain proprietary, high-performance trading software to give our traders the best execution and analytical tools available.

What our Trader Trainees do:
Our Trader Trainees are assigned to specific product desks where they work alongside experienced traders and managing partners. The goal of our Trader Trainee program is to immerse new hires in an environment most conducive to the development of critical communication and decision-making skills necessary to grow into a successful trader.

More specifically, our Trader Trainees:
Engage in continuous, hands-on training that includes education on option valuation, game theory, hedging, portfolio analysis, and simulated trading games
Assist with order execution, position management, desk strategy meetings, trade checking and trade reconciliations
Rotate between product groups to gain a broad perspective of the marketplace
Communicate with technology team members to enhance trading software
 
What we offer: 
Belvedere offers a casual work environment that promotes innovation and creativity.  Our employees’ health is important to us so we provide full benefits and a robust wellness program including: in-office yoga, health seminars and discounted gym memberships. In additional to traditional benefits such as insurance and 401k, Belvedere also recognizes the positive effects of a strong work-life balance by having a flexible, paid time off policy and a transit benefit program.",Career Employment – Graduating Students & Alumni,"Consumer and Family Financial Services, Accounting, Economics - Business, Finance, Economics, Mathematics","Who we’re looking for:
We’re looking for exceptional Trader Trainees who come from a variety of strong quantitative backgrounds and who thrive in a competitive and challenging work environment.

Key qualities in great candidates:
Effective communication skills and a team-oriented attitude
Strong quantitative, analytical, and problem solving skills
Demonstrated participation in strategic competitive activities
Knowledge of the financial markets and trading industry is a plus, but not a prerequisite
Graduation date of December 2015 or May/June 2016 (start date of summer 2016)

Sponsorship is not available for this position
All candidates must have GPA listed on their resumes
It is recommended that candidates apply to only one of our 2015-2016 campus roles: Business Analyst, Software Engineer, Trader Trainee or Hybrid Trader Trainee.  Please apply for the role that most interests you and best fits your skill-set."
