Major,Minor / Specialization,Graduation Year,Prior Degrees,Employment - Title,Employment - Exp.,Employment - Title,Employment - Exp.,Employment - Title,Employment - Exp.,Skills - Computer,Skills - Language,Skills - Personal,Courses,Projects
Economics,"Engineering, Computer and Information Science ",5/2017,,Data Analysis Intern,"Assigned a project for a global customer within the Oral Care Sector; Designed an experiment to test flavor release on human subjects from toothpaste developed using Ashland specialty ingredients; Created and presented a PowerPoint presentation analyzing my findings and conclusions to the customer; Gained experience graphing and analyzing raw data, creating professional presentations and perfecting oratory skills",R&D Intern,Worked in research and development of hair care & styling products; Found cost effective ways to produce products in order to make the polymers more marketable to potential customers; Developed hair styling creams and thickener free hair gels using Ashland polymers and specialty ingredients,Researcher,"Worked in a team studying yeast cell adhesion on various patterned and non- patterned surfaces as well as designed theoretical medical machinery on simulation program SOLIDWORKS; Helped write an 80 page engineering report detailing data and conclusions of research. Gained valuable experience in technical writing, research and successfully working in teams","Working knowledge in JAVA, C++, MATLAB, SOLIDWORKS and EXCEL",,"Experience in handling checking accounts, transactions and auditing",,
Business Administration,"Finance, Economics",5/2017,,Valet Attendant,"Maintained etiquette while working in a fast paced, high-stress environment; Greeted with a smile and politeness despite current attitude; Utmost individual responsibility and professionalism; Constantly readapted to new controls without altering","Pool Operator, Lifeguard",CPR/AED Certified for Professional Rescuers with First Aid by the American Red Cross Association,Event Caterer ,"Helped to run party operations, including managing birthday parties; Configured moon bounces, in charge of laser taggers; Demonstrated use of and refereed elementary children in games of laser tag; Responsible for overall satisfaction and safety of children involved",,,,,
Financial Mathematics,Economics,5/2016,"Associate, Math",Logistic Technician,"Inspect accuracy of orders to Pharmacies (customers); Monitor temperature of facility and controlled substances volt; involved in the company activities like the Ice bucket challenge, and Breast cancer awareness campaign",Peer Tutor,"Assigned students to work with who need help in various subjects, help them understand the subject, and also with questions they have pertaining the topic; Tutor Math up to Pre-calculus, Financial Accounting, Managerial Accounting, Micro Economics and Macro Economics; Attended several seminars that help tutors tutor effectively and also be a role model to tutees, as well as leadership seminars",Order selection and Lift Operator,"Order selector for a year, then promoted to a lift operator before joining the BBS team","Microsoft Office, Java, C+++, spreadsheet and data base, solid works, and MATLAB","Fluent in Soninke, Wolof, Mandinka, and Fulani",,,
Mathematics,,12/2016,"Bachelor, Mathematics",Chemical Synthesis Research Intern ,"Carried out large scale chemical reactions for the Small Molecules group of the Chemical Synthesis Dept. and worked closely with one Research Chemist in the company; Identified several promising candidates for a new seal-swell agent to replace co’s current seal-swell additive, a compound with severe toxicology and security of supply issues; Analyzed data from the Dept. of Applied Sciences about the products of the reactions and made a 40 minute presentation about the status of the seal swell project",Electrical Engineering Intern,"Digitized and organized hard copies of blueprints and used AutoCAD software to represent the location of receptacles, power panels, and light fixtures in a Goodyear Tire and Rubber Co. facility; Supported firm’s office relocation through document management",Chemical Engineering Research Assistant ,Conducted electrostatics research experiments and presented results to research supervisors; Wrote four weekly page-long journal entries about the experience and created a poster presentation for Senior Project at High School,"AutoCAD, Autodesk Inventor, HTML, Microsoft Excel, Virtual DJ, Zotero, Microcase","Fluent in Spanish, elementary Chinese, elementary German",,,
Economics,,5/2016,"Associate, Applied Science",Shift Manager,"In charge of day-to-day operations (scheduling, product management, employee tasks)",Assistant Manager,"In charge of day-to-day operations (scheduling, product management, employee tasks)",,,,,"Interpersonal communication, Problem solving, Detail oriented, Time management, Ethically responsible, Effective listening, Critical thinker, People management, Strategic thinking, Organizational, Reliable","Econometrics, Money & Banking, Statistical Analysis, Calculus",
Actuarial Science,"Leadership Studies, Landscape Design and Management, Economics, and Business",5/2018,,Honors Peer Mentor   ,"Designed, Organized, and executed an informative lesson plan for incoming collegiate freshman; Organized events for all Peer Mentors to meet students in out of class situations",Community Ambassador   ,Work as a student liaison between off-campus students and the office of student life,,,Proficiency in Microsoft Suite Products,,Red Cross CPR Trained,,
Data Analytics,,5/2017,,Supervisor,"Train student assistants on the different operations of the restaurant; Take Inventory of the whole restaurant, handling several items; Process the inventory, as well as orders received, then create orders, handling thousands of dollars worth of product for the operation; Use previous inventory statistics to help generate orders",Marketing and Consulting Analytics Internship,"Responsible for collecting data for a project with co to make their Customer Service more efficient; Analyzed customer care service calls and recorded observed patterns; Created projected trends from the data to show co, ultimately helping them make calculated changes to how their Customer Service reps approached customers",Player Development and Sports Analytics Internship,"Responsible for collecting data from the players during practices through a Sports Analytics software called Stats-Sports Viper; Analyze different body metrics of the players and break down each individual, practice drill; Record other player data, such as player wellness levels, weight, flexibility etc. and input into an Excel spreadsheet, that is then used for the final Training Report of the day","Advanced in Microsoft Excel (Solver add in included), Access,  Java and R (Beginner-Intermediate Proficiency)",,,"Business Analytics, Probability for Data Analytics",
Financial Mathematics ,,5/2016,,Undergraduate Teaching Assistant ,Present information and examples to ensure students comprehend material daily; Prepare lessons and lead multiple classes; Proctor examinations; Score and electronically record weekly quizzes and exams; Assist students needing additional math clarification during posted office hours; Provide weekly tutoring to Pre-Calculus students,Finance Department,"Perform administrative duties: process rent checks, compute late fees and enter them into the system, and create deposit spreadsheets; Process invoices and data into the system for payments; Scan, organize, and file accounts payable documents; Answer phones and assist tenants with inquiries and complaints; Assess property damage during “move-out” and “move-in” periods for security deposit purposes",Intern,"Produced Income/Debt Worksheet, checked for any outstanding debt, ensure loan was clear to close for each individual loan; Communicated with Loan Officers, Underwriters, Borrower's employers, and production specialists on a daily basis; Arranged loan packages verifying the documents and numbers were accurate; Gained broad based knowledge of the mortgage industry; Performed miscellaneous duties as they were assigned","Microsoft Excel, Microsoft Access, Some Java, Currently learning MATLAB",American Sign Language,,,
Economics; International Studies,,5/2016,,"Shipping, Receiving, and Security Staff","Manage all incoming and outgoing packages by cataloguing, organizing and delivering them to their proper location; Maintain a secure environment in and around office by patrolling and watching cameras",Industry and Security Intern,"Compile press bites, news clips related to export controls; Worked in the office of the Under Secretary of Bureau of Industry, scheduling his appointments and assisting the Chief of Staff in meetings and Congressional hearings related to export control",Summit Funding & Budgeting Director,"Acquire the needed budget of $50,000 to run a successful pre-event, summit, and post-event each year; Keep track of all incoming money and expenses and properly allocate them to needed resources for a successful event; Bookkeep all 501(c)3, EIN information and coordinate all fiscal matters with Fisher College of Business","Broad Knowledge of Microsoft Excel, Microsoft Word, Microsoft Access, and PowerPoint",,,,
Economics,Sociology ,5/2016,,Intern,"Assisted in coordinating and operating five fundraising events for national-level politicians such as Senator Pat Toomey and Congressman Tim Murphy; Conducted countless business calls to possible supporters asking for donations and attendance at fundraisers; Produced spreadsheets detailing results of election in individual districts for data analysis; Interviewed founder and employees of company to get a better understanding of the business; Interviewed my Pennsylvania State Representative, Mark Mustio, at a private fundraising event; Analyzed results from polling stations and did work in the field for a local campaign",Manager,"Earned manager position after two years of employment; Managed lifeguards at private country club pool for three years; Supervised 14 employees each year; Personally managed interviewing and hiring employees, setting up meetings, conducting training, going over safety procedures, swim lessons, and coordinating pool opening and closing procedures;  Oversaw day to day operations, planned special holiday events and private parties; Produced weekly schedules",,,"Proficient in Microsoft Word, Excel, and Powerpoint",,,,
